기간,구분,지표,값,전년 동기,YoY(%),기준선,판정
2026-01-01,⑤ 리텐션,결제 1→2회차 · 월구독(%),67.1,66.3,1.2,전년比 하락 금지,양호
2026-01-01,⑤ 리텐션,결제 1→2회차 · 플러스(%),83.6,83.0,0.7,전년比 하락 금지,양호
2026-01-01,⑤ 리텐션,결제 1→3회차 · 월구독(%),48.8,48.2,1.2,전년比 하락 금지,양호
2026-01-01,⑤ 리텐션,결제 1→3회차 · 플러스(%),72.8,72.5,0.4,전년比 하락 금지,양호
2026-01-01,⑥ 금액,결제금액(원),3500000000.0,3447500000.0,1.5,,
2026-01-01,⑥ 금액,결제금액 · 자유(원),1260000000.0,1172150000.0,7.5,,
2026-01-01,⑥ 금액,결제금액 · 구독(원),2170000000.0,2206400000.0,-1.6,,
2026-01-01,⑦ 단가,수거당 단가 · 전체(원),44871.79,43332.08,3.6,전년比 하락 금지,양호
2026-01-01,⑦ 단가,수거당 단가 · 자유(원),38461.54,36832.26,4.4,전년比 하락 금지,양호
2026-01-01,⑦ 단가,수거당 단가 · 구독(원),49679.49,47814.71,3.9,전년比 하락 금지,양호
2026-01-01,⑨ 진단,수거신청 수(건),78000,79560.0,-2.0,,
2026-01-01,⑨ 진단,수거신청 · 자유(건),32760.0,31824.0,2.9,,
2026-01-01,⑨ 진단,수거신청 · 구독(건),43680.0,46144.8,-5.3,,
2026-01-01,⑨ 진단,구독 시작 건수(건),3240,3045.6,6.4,,
2026-01-01,⑨ 진단,1회차 도달 소요 중앙값(일),2.0,2.0,0.0,,
2026-01-01,⑨ 진단,1→2회차 간격 중앙값(일),9.0,9.0,0.0,,
2026-01-01,⑨ 진단,2→3회차 간격 중앙값(일),8.0,8.0,0.0,,
2026-02-01,① 신규,신규 가입자(명),13192,11872.8,11.1,,
2026-02-01,② 첫 주문,첫 주문율(%),33.24,33.2,0.1,전년比 하락 금지,양호
2026-02-01,② 첫 주문,첫 주문율 · 자유(%),20.61,21.25,-3.0,전년比 하락 금지,이탈
2026-02-01,② 첫 주문,첫 주문율 · 구독(%),13.3,12.62,5.4,전년比 하락 금지,양호
2026-02-01,② 첫 주문,첫 주문자 수(명),4385,3942,11.2,,
2026-02-01,③ 코호트,28일 내 1회차 도달(%),37.44,37.1,0.9,전년比 하락 금지,양호
2026-02-01,③ 코호트,28일 내 2회차 도달(%),12.73,12.24,4.0,전년比 하락 금지,양호
2026-02-01,③ 코호트,28일 내 3회차 도달(%),4.87,4.45,9.3,전년比 하락 금지,양호
2026-02-01,③ 코호트,1회차 → 2회차 잔존(%),34.3,33.1,3.6,전년比 하락 금지,양호
2026-02-01,③ 코호트,2회차 → 3회차 잔존(%),38.7,37.9,2.1,전년比 하락 금지,양호
2026-02-01,④ 구독 유입,구독 가입(건),2770,2603.8,6.4,,
2026-02-01,④ 구독 유입,바로 구독(%),45.8,47.8,-4.2,,
2026-02-01,④ 구독 유입,써보고 구독(%),38.6,36.4,6.0,,
2026-02-01,④ 구독 유입,재가입(%),15.6,15.8,-1.3,,
2026-02-01,④ 구독 유입,플러스 · 전체(%),23.0,18.9,21.7,,
2026-02-01,④ 구독 유입,플러스 · 3개월(%),12.0,10.4,15.4,,
2026-02-01,④ 구독 유입,플러스 · 6개월(%),7.35,5.9,24.6,,
2026-02-01,④ 구독 유입,플러스 · 12개월(%),3.65,2.6,40.4,,
2026-02-01,⑤ 리텐션,결제 1→2회차(%),71.6,70.1,2.1,전년比 하락 금지,양호
2026-02-01,⑤ 리텐션,결제 2→3회차(%),77.2,76.4,1.0,전년比 하락 금지,양호
2026-02-01,⑤ 리텐션,결제 1→3회차(%),55.1,54.0,2.0,전년比 하락 금지,양호
2026-02-01,⑤ 리텐션,결제 1→2회차 · 월구독(%),67.5,66.3,1.8,전년比 하락 금지,양호
2026-02-01,⑤ 리텐션,결제 1→2회차 · 플러스(%),84.0,83.0,1.2,전년比 하락 금지,양호
2026-02-01,⑤ 리텐션,결제 1→3회차 · 월구독(%),49.1,48.2,1.9,전년比 하락 금지,양호
2026-02-01,⑤ 리텐션,결제 1→3회차 · 플러스(%),73.1,72.5,0.8,전년比 하락 금지,양호
2026-02-01,⑥ 금액,결제금액(원),3480000000.0,3427800000.0,1.5,,
2026-02-01,⑥ 금액,결제금액 · 자유(원),1252800000.0,1165452000.0,7.5,,
2026-02-01,⑥ 금액,결제금액 · 구독(원),2157600000.0,2193792000.0,-1.6,,
2026-02-01,⑦ 단가,수거당 단가 · 전체(원),44845.36,43306.55,3.6,전년比 하락 금지,양호
2026-02-01,⑦ 단가,수거당 단가 · 자유(원),38438.88,36810.57,4.4,전년比 하락 금지,양호
2026-02-01,⑦ 단가,수거당 단가 · 구독(원),49650.22,47786.54,3.9,전년比 하락 금지,양호
2026-02-01,⑨ 진단,수거신청 수(건),77600,79152.0,-2.0,,
2026-02-01,⑨ 진단,수거신청 · 자유(건),32592.0,31660.8,2.9,,
2026-02-01,⑨ 진단,수거신청 · 구독(건),43456.0,45908.16,-5.3,,
2026-02-01,⑨ 진단,구독 시작 건수(건),2770,2603.8,6.4,,
2026-02-01,⑨ 진단,1회차 도달 소요 중앙값(일),2.0,2.0,0.0,,
2026-02-01,⑨ 진단,1→2회차 간격 중앙값(일),9.0,9.0,0.0,,
2026-02-01,⑨ 진단,2→3회차 간격 중앙값(일),8.0,8.0,0.0,,
2026-03-01,① 신규,신규 가입자(명),15770,14193.0,11.1,,
2026-03-01,② 첫 주문,첫 주문율(%),35.6,28.73,23.9,전년比 하락 금지,양호
2026-03-01,② 첫 주문,첫 주문율 · 자유(%),22.07,18.39,20.0,전년比 하락 금지,양호
2026-03-01,② 첫 주문,첫 주문율 · 구독(%),14.24,10.92,30.4,전년比 하락 금지,양호
2026-03-01,② 첫 주문,첫 주문자 수(명),5614,4078,37.7,,
2026-03-01,③ 코호트,28일 내 1회차 도달(%),39.8,32.63,22.0,전년比 하락 금지,양호
2026-03-01,③ 코호트,28일 내 2회차 도달(%),13.53,10.77,25.7,전년比 하락 금지,양호
2026-03-01,③ 코호트,28일 내 3회차 도달(%),5.17,3.92,32.1,전년比 하락 금지,양호
2026-03-01,③ 코호트,1회차 → 2회차 잔존(%),34.6,33.1,4.5,전년比 하락 금지,양호
2026-03-01,③ 코호트,2회차 → 3회차 잔존(%),38.9,37.9,2.6,전년比 하락 금지,양호
2026-03-01,④ 구독 유입,구독 가입(건),3312,3113.28,6.4,,
2026-03-01,④ 구독 유입,바로 구독(%),45.4,47.8,-5.0,,
2026-03-01,④ 구독 유입,써보고 구독(%),39.1,36.4,7.4,,
2026-03-01,④ 구독 유입,재가입(%),15.5,15.8,-1.9,,
2026-03-01,④ 구독 유입,플러스 · 전체(%),23.6,18.9,24.9,,
2026-03-01,④ 구독 유입,플러스 · 3개월(%),12.2,10.4,17.3,,
2026-03-01,④ 구독 유입,플러스 · 6개월(%),7.6,5.9,28.8,,
2026-03-01,④ 구독 유입,플러스 · 12개월(%),3.8,2.6,46.2,,
2026-03-01,⑤ 리텐션,결제 1→2회차(%),72.0,70.1,2.7,전년比 하락 금지,양호
2026-03-01,⑤ 리텐션,결제 2→3회차(%),77.4,76.4,1.3,전년比 하락 금지,양호
2026-03-01,⑤ 리텐션,결제 1→3회차(%),55.4,54.0,2.6,전년比 하락 금지,양호
2026-03-01,⑤ 리텐션,결제 1→2회차 · 월구독(%),67.9,66.3,2.4,전년比 하락 금지,양호
2026-03-01,⑤ 리텐션,결제 1→2회차 · 플러스(%),84.4,83.0,1.7,전년比 하락 금지,양호
2026-03-01,⑤ 리텐션,결제 1→3회차 · 월구독(%),49.4,48.2,2.5,전년比 하락 금지,양호
2026-03-01,⑤ 리텐션,결제 1→3회차 · 플러스(%),73.4,72.5,1.2,전년比 하락 금지,양호
2026-03-01,⑥ 금액,결제금액(원),3460000000.0,3408100000.0,1.5,,
2026-03-01,⑥ 금액,결제금액 · 자유(원),1245600000.0,1158754000.0,7.5,,
2026-03-01,⑥ 금액,결제금액 · 구독(원),2145200000.0,2181184000.0,-1.6,,
2026-03-01,⑦ 단가,수거당 단가 · 전체(원),44818.65,43280.76,3.6,전년比 하락 금지,양호
2026-03-01,⑦ 단가,수거당 단가 · 자유(원),38415.99,36788.64,4.4,전년比 하락 금지,양호
2026-03-01,⑦ 단가,수거당 단가 · 구독(원),49620.65,47758.08,3.9,전년比 하락 금지,양호
2026-03-01,⑨ 진단,수거신청 수(건),77200,78744.0,-2.0,,
2026-03-01,⑨ 진단,수거신청 · 자유(건),32424.0,31497.6,2.9,,
2026-03-01,⑨ 진단,수거신청 · 구독(건),43232.0,45671.52,-5.3,,
2026-03-01,⑨ 진단,구독 시작 건수(건),3312,3113.28,6.4,,
2026-03-01,⑨ 진단,1회차 도달 소요 중앙값(일),2.0,2.0,0.0,,
2026-03-01,⑨ 진단,1→2회차 간격 중앙값(일),9.0,9.0,0.0,,
2026-03-01,⑨ 진단,2→3회차 간격 중앙값(일),8.0,8.0,0.0,,
2026-04-01,① 신규,신규 가입자(명),17560,15804.0,11.1,,
2026-04-01,② 첫 주문,첫 주문율(%),34.5,24.01,43.7,전년比 하락 금지,양호
2026-04-01,② 첫 주문,첫 주문율 · 자유(%),21.39,15.37,39.2,전년比 하락 금지,양호
2026-04-01,② 첫 주문,첫 주문율 · 구독(%),13.8,9.12,51.3,전년比 하락 금지,양호
2026-04-01,② 첫 주문,첫 주문자 수(명),6058,3795,59.6,,
2026-04-01,③ 코호트,28일 내 1회차 도달(%),38.7,27.91,38.7,전년比 하락 금지,양호
2026-04-01,③ 코호트,28일 내 2회차 도달(%),13.16,9.21,42.9,전년比 하락 금지,양호
2026-04-01,③ 코호트,28일 내 3회차 도달(%),5.03,3.35,50.2,전년比 하락 금지,양호
2026-04-01,③ 코호트,1회차 → 2회차 잔존(%),34.9,33.1,5.4,전년比 하락 금지,양호
2026-04-01,③ 코호트,2회차 → 3회차 잔존(%),39.1,37.9,3.2,전년比 하락 금지,양호
2026-04-01,④ 구독 유입,구독 가입(건),3688,3466.72,6.4,,
2026-04-01,④ 구독 유입,바로 구독(%),45.0,47.8,-5.9,,
2026-04-01,④ 구독 유입,써보고 구독(%),39.6,36.4,8.8,,
2026-04-01,④ 구독 유입,재가입(%),15.4,15.8,-2.5,,
2026-04-01,④ 구독 유입,플러스 · 전체(%),24.2,18.9,28.0,,
2026-04-01,④ 구독 유입,플러스 · 3개월(%),12.4,10.4,19.2,,
2026-04-01,④ 구독 유입,플러스 · 6개월(%),7.85,5.9,33.1,,
2026-04-01,④ 구독 유입,플러스 · 12개월(%),3.95,2.6,51.9,,
2026-04-01,⑤ 리텐션,결제 1→2회차(%),72.4,70.1,3.3,전년比 하락 금지,양호
2026-04-01,⑤ 리텐션,결제 2→3회차(%),77.6,76.4,1.6,전년比 하락 금지,양호
2026-04-01,⑤ 리텐션,결제 1→3회차(%),55.7,54.0,3.1,전년比 하락 금지,양호
2026-04-01,⑤ 리텐션,결제 1→2회차 · 월구독(%),68.3,66.3,3.0,전년比 하락 금지,양호
2026-04-01,⑤ 리텐션,결제 1→2회차 · 플러스(%),84.8,83.0,2.2,전년比 하락 금지,양호
2026-04-01,⑤ 리텐션,결제 1→3회차 · 월구독(%),49.7,48.2,3.1,전년比 하락 금지,양호
2026-04-01,⑤ 리텐션,결제 1→3회차 · 플러스(%),73.7,72.5,1.7,전년比 하락 금지,양호
2026-04-01,⑥ 금액,결제금액(원),3440000000.0,3388400000.0,1.5,,
2026-04-01,⑥ 금액,결제금액 · 자유(원),1238400000.0,1152056000.0,7.5,,
2026-04-01,⑥ 금액,결제금액 · 구독(원),2132800000.0,2168576000.0,-1.6,,
2026-04-01,⑦ 단가,수거당 단가 · 전체(원),44791.67,43254.7,3.6,전년比 하락 금지,양호
2026-04-01,⑦ 단가,수거당 단가 · 자유(원),38392.86,36766.49,4.4,전년比 하락 금지,양호
2026-04-01,⑦ 단가,수거당 단가 · 구독(원),49590.77,47729.32,3.9,전년比 하락 금지,양호
2026-04-01,⑨ 진단,수거신청 수(건),76800,78336.0,-2.0,,
2026-04-01,⑨ 진단,수거신청 · 자유(건),32256.0,31334.4,2.9,,
2026-04-01,⑨ 진단,수거신청 · 구독(건),43008.0,45434.88,-5.3,,
2026-04-01,⑨ 진단,구독 시작 건수(건),3688,3466.72,6.4,,
2026-04-01,⑨ 진단,1회차 도달 소요 중앙값(일),2.0,2.0,0.0,,
2026-04-01,⑨ 진단,1→2회차 간격 중앙값(일),9.0,9.0,0.0,,
2026-04-01,⑨ 진단,2→3회차 간격 중앙값(일),8.0,8.0,0.0,,
2026-05-01,① 신규,신규 가입자(명),13795,12415.5,11.1,,
2026-05-01,② 첫 주문,첫 주문율(%),35.42,34.96,1.3,전년比 하락 금지,양호
2026-05-01,② 첫 주문,첫 주문율 · 자유(%),21.96,22.37,-1.9,전년比 하락 금지,이탈
2026-05-01,② 첫 주문,첫 주문율 · 구독(%),14.17,13.28,6.6,전년比 하락 금지,양호
2026-05-01,② 첫 주문,첫 주문자 수(명),4886,4340,12.6,,
2026-05-01,③ 코호트,28일 내 1회차 도달(%),39.62,38.86,2.0,전년比 하락 금지,양호
2026-05-01,③ 코호트,28일 내 2회차 도달(%),13.47,12.82,5.0,전년比 하락 금지,양호
2026-05-01,③ 코호트,28일 내 3회차 도달(%),5.15,4.66,10.5,전년比 하락 금지,양호
2026-05-01,③ 코호트,1회차 → 2회차 잔존(%),35.2,33.1,6.3,전년比 하락 금지,양호
2026-05-01,③ 코호트,2회차 → 3회차 잔존(%),39.3,37.9,3.7,전년比 하락 금지,양호
2026-05-01,④ 구독 유입,구독 가입(건),2897,2723.18,6.4,,
2026-05-01,④ 구독 유입,바로 구독(%),44.6,47.8,-6.7,,
2026-05-01,④ 구독 유입,써보고 구독(%),40.1,36.4,10.2,,
2026-05-01,④ 구독 유입,재가입(%),15.3,15.8,-3.2,,
2026-05-01,④ 구독 유입,플러스 · 전체(%),24.8,18.9,31.2,,
2026-05-01,④ 구독 유입,플러스 · 3개월(%),12.6,10.4,21.2,,
2026-05-01,④ 구독 유입,플러스 · 6개월(%),8.1,5.9,37.3,,
2026-05-01,④ 구독 유입,플러스 · 12개월(%),4.1,2.6,57.7,,
2026-05-01,⑤ 리텐션,결제 1→2회차(%),72.8,70.1,3.9,전년比 하락 금지,양호
2026-05-01,⑤ 리텐션,결제 2→3회차(%),,76.4,,전년比 하락 금지,
2026-05-01,⑤ 리텐션,결제 1→3회차(%),,54.0,,전년比 하락 금지,
2026-05-01,⑤ 리텐션,결제 1→2회차 · 월구독(%),68.7,66.3,3.6,전년比 하락 금지,양호
2026-05-01,⑤ 리텐션,결제 1→2회차 · 플러스(%),85.2,83.0,2.7,전년比 하락 금지,양호
2026-05-01,⑤ 리텐션,결제 1→3회차 · 월구독(%),,48.2,,전년比 하락 금지,
2026-05-01,⑤ 리텐션,결제 1→3회차 · 플러스(%),,72.5,,전년比 하락 금지,
2026-05-01,⑥ 금액,결제금액(원),3420000000.0,3368700000.0,1.5,,
2026-05-01,⑥ 금액,결제금액 · 자유(원),1231200000.0,1145358000.0,7.5,,
2026-05-01,⑥ 금액,결제금액 · 구독(원),2120400000.0,2155968000.0,-1.6,,
2026-05-01,⑦ 단가,수거당 단가 · 전체(원),44764.4,43228.36,3.6,전년比 하락 금지,양호
2026-05-01,⑦ 단가,수거당 단가 · 자유(원),38369.48,36744.11,4.4,전년比 하락 금지,양호
2026-05-01,⑦ 단가,수거당 단가 · 구독(원),49560.58,47700.26,3.9,전년比 하락 금지,양호
2026-05-01,⑨ 진단,수거신청 수(건),76400,77928.0,-2.0,,
2026-05-01,⑨ 진단,수거신청 · 자유(건),32088.0,31171.2,2.9,,
2026-05-01,⑨ 진단,수거신청 · 구독(건),42784.0,45198.24,-5.3,,
2026-05-01,⑨ 진단,구독 시작 건수(건),2897,2723.18,6.4,,
2026-05-01,⑨ 진단,1회차 도달 소요 중앙값(일),2.0,2.0,0.0,,
2026-05-01,⑨ 진단,1→2회차 간격 중앙값(일),9.0,9.0,0.0,,
2026-05-01,⑨ 진단,2→3회차 간격 중앙값(일),8.0,8.0,0.0,,
2026-06-01,① 신규,신규 가입자(명),11871,10683.9,11.1,,
2026-06-01,② 첫 주문,첫 주문율(%),34.36,33.71,1.9,전년比 하락 금지,양호
2026-06-01,② 첫 주문,첫 주문율 · 자유(%),21.3,21.57,-1.3,전년比 하락 금지,이탈
2026-06-01,② 첫 주문,첫 주문율 · 구독(%),13.74,12.81,7.3,전년比 하락 금지,양호
2026-06-01,② 첫 주문,첫 주문자 수(명),4079,3602,13.2,,
2026-06-01,③ 코호트,28일 내 1회차 도달(%),38.56,37.61,2.5,전년比 하락 금지,양호
2026-06-01,③ 코호트,28일 내 2회차 도달(%),13.11,12.41,5.6,전년比 하락 금지,양호
2026-06-01,③ 코호트,28일 내 3회차 도달(%),5.01,4.51,11.1,전년比 하락 금지,양호
2026-06-01,③ 코호트,1회차 → 2회차 잔존(%),35.5,33.1,7.3,전년比 하락 금지,양호
2026-06-01,③ 코호트,2회차 → 3회차 잔존(%),39.5,37.9,4.2,전년比 하락 금지,양호
2026-06-01,④ 구독 유입,구독 가입(건),2493,2343.42,6.4,,
2026-06-01,④ 구독 유입,바로 구독(%),44.2,47.8,-7.5,,
2026-06-01,④ 구독 유입,써보고 구독(%),40.6,36.4,11.5,,
2026-06-01,④ 구독 유입,재가입(%),15.2,15.8,-3.8,,
2026-06-01,④ 구독 유입,플러스 · 전체(%),25.4,18.9,34.4,,
2026-06-01,④ 구독 유입,플러스 · 3개월(%),12.8,10.4,23.1,,
2026-06-01,④ 구독 유입,플러스 · 6개월(%),8.35,5.9,41.5,,
2026-06-01,④ 구독 유입,플러스 · 12개월(%),4.25,2.6,63.5,,
2026-06-01,⑤ 리텐션,결제 1→2회차(%),,70.1,,전년比 하락 금지,
2026-06-01,⑤ 리텐션,결제 2→3회차(%),,76.4,,전년比 하락 금지,
2026-06-01,⑤ 리텐션,결제 1→3회차(%),,54.0,,전년比 하락 금지,
2026-06-01,⑤ 리텐션,결제 1→2회차 · 월구독(%),,66.3,,전년比 하락 금지,
2026-06-01,⑤ 리텐션,결제 1→2회차 · 플러스(%),,83.0,,전년比 하락 금지,
2026-06-01,⑤ 리텐션,결제 1→3회차 · 월구독(%),,48.2,,전년比 하락 금지,
2026-06-01,⑤ 리텐션,결제 1→3회차 · 플러스(%),,72.5,,전년比 하락 금지,
2026-06-01,⑥ 금액,결제금액(원),3400000000.0,3349000000.0,1.5,,
2026-06-01,⑥ 금액,결제금액 · 자유(원),1224000000.0,1138660000.0,7.5,,
2026-06-01,⑥ 금액,결제금액 · 구독(원),2108000000.0,2143360000.0,-1.6,,
2026-06-01,⑦ 단가,수거당 단가 · 전체(원),44736.84,43201.75,3.6,전년比 하락 금지,양호
2026-06-01,⑦ 단가,수거당 단가 · 자유(원),38345.86,36721.49,4.4,전년比 하락 금지,양호
2026-06-01,⑦ 단가,수거당 단가 · 구독(원),49530.08,47670.9,3.9,전년比 하락 금지,양호
2026-06-01,⑨ 진단,수거신청 수(건),76000,77520.0,-2.0,,
2026-06-01,⑨ 진단,수거신청 · 자유(건),31920.0,31008.0,2.9,,
2026-06-01,⑨ 진단,수거신청 · 구독(건),42560.0,44961.6,-5.3,,
2026-06-01,⑨ 진단,구독 시작 건수(건),2493,2343.42,6.4,,
2026-06-01,⑨ 진단,1회차 도달 소요 중앙값(일),2.0,2.0,0.0,,
2026-06-01,⑨ 진단,1→2회차 간격 중앙값(일),9.0,9.0,0.0,,
2026-06-01,⑨ 진단,2→3회차 간격 중앙값(일),8.0,8.0,0.0,,
2026-07-01,① 신규,신규 가입자(명),13997,12597.3,11.1,,
2026-07-01,② 첫 주문,첫 주문율(%),28.89,32.28,-10.5,전년比 하락 금지,이탈
2026-07-01,② 첫 주문,첫 주문율 · 자유(%),17.91,20.66,-13.3,전년比 하락 금지,이탈
2026-07-01,② 첫 주문,첫 주문율 · 구독(%),11.56,12.27,-5.8,전년比 하락 금지,이탈
2026-07-01,② 첫 주문,첫 주문자 수(명),4044,4066,-0.5,,
2026-07-01,③ 코호트,28일 내 1회차 도달(%),,36.18,,전년比 하락 금지,
2026-07-01,③ 코호트,28일 내 2회차 도달(%),,11.94,,전년比 하락 금지,
2026-07-01,③ 코호트,28일 내 3회차 도달(%),,4.34,,전년比 하락 금지,
2026-07-01,③ 코호트,1회차 → 2회차 잔존(%),,33.1,,전년比 하락 금지,
2026-07-01,③ 코호트,2회차 → 3회차 잔존(%),,37.9,,전년比 하락 금지,
2026-07-01,④ 구독 유입,구독 가입(건),2939,2762.66,6.4,,
2026-07-01,④ 구독 유입,바로 구독(%),43.8,47.8,-8.4,,
2026-07-01,④ 구독 유입,써보고 구독(%),41.1,36.4,12.9,,
2026-07-01,④ 구독 유입,재가입(%),15.1,15.8,-4.4,,
2026-07-01,④ 구독 유입,플러스 · 전체(%),26.0,18.9,37.6,,
2026-07-01,④ 구독 유입,플러스 · 3개월(%),13.0,10.4,25.0,,
2026-07-01,④ 구독 유입,플러스 · 6개월(%),8.6,5.9,45.8,,
2026-07-01,④ 구독 유입,플러스 · 12개월(%),4.4,2.6,69.2,,
2026-07-01,⑤ 리텐션,결제 1→2회차(%),,70.1,,전년比 하락 금지,
2026-07-01,⑤ 리텐션,결제 2→3회차(%),,76.4,,전년比 하락 금지,
2026-07-01,⑤ 리텐션,결제 1→3회차(%),,54.0,,전년比 하락 금지,
2026-07-01,⑤ 리텐션,결제 1→2회차 · 월구독(%),,66.3,,전년比 하락 금지,
2026-07-01,⑤ 리텐션,결제 1→2회차 · 플러스(%),,83.0,,전년比 하락 금지,
2026-07-01,⑤ 리텐션,결제 1→3회차 · 월구독(%),,48.2,,전년比 하락 금지,
2026-07-01,⑤ 리텐션,결제 1→3회차 · 플러스(%),,72.5,,전년比 하락 금지,
2026-07-01,⑥ 금액,결제금액(원),3380000000.0,3329300000.0,1.5,,
2026-07-01,⑥ 금액,결제금액 · 자유(원),1216800000.0,1131962000.0,7.5,,
2026-07-01,⑥ 금액,결제금액 · 구독(원),2095600000.0,2130752000.0,-1.6,,
2026-07-01,⑦ 단가,수거당 단가 · 전체(원),44708.99,43174.86,3.6,전년比 하락 금지,양호
2026-07-01,⑦ 단가,수거당 단가 · 자유(원),38322.0,36698.63,4.4,전년比 하락 금지,양호
2026-07-01,⑦ 단가,수거당 단가 · 구독(원),49499.24,47641.23,3.9,전년比 하락 금지,양호
2026-07-01,⑨ 진단,수거신청 수(건),75600,77112.0,-2.0,,
2026-07-01,⑨ 진단,수거신청 · 자유(건),31752.0,30844.8,2.9,,
2026-07-01,⑨ 진단,수거신청 · 구독(건),42336.0,44724.96,-5.3,,
2026-07-01,⑨ 진단,구독 시작 건수(건),2939,2762.66,6.4,,
2026-07-01,⑨ 진단,1회차 도달 소요 중앙값(일),2.0,2.0,0.0,,
2026-07-01,⑨ 진단,1→2회차 간격 중앙값(일),9.0,9.0,0.0,,
2026-07-01,⑨ 진단,2→3회차 간격 중앙값(일),8.0,8.0,0.0,,
2026-01-01,⑧ 자유 재주문,자유 첫 주문 고객(명),7302.0,4261.0,71.4,,
2026-01-01,⑧ 자유 재주문,재주문율 · 28일 조기(%),24.82,23.0,7.9,전년比 하락 금지,양호
2026-01-01,⑧ 자유 재주문,재주문율 · 90일(%),41.02,43.96,-6.7,전년比 하락 금지,이탈
2026-01-01,⑧ 자유 재주문,3회차 도달률 · 90일(%),20.68,21.59,-4.2,전년比 하락 금지,이탈
2026-01-01,⑧ 자유 재주문,2회차 구독 전환(%),2.83,2.25,25.8,,
2026-01-01,⑨ 진단,자유 첫 재주문 간격 P50(일),27.0,34.0,,,
2026-01-01,⑨ 진단,자유 첫 재주문 간격 P75(일),68.0,71.0,,,
2026-01-01,⑨ 진단,자유 재주문 중 구독 비중(%),5.85,4.26,,,
2026-02-01,⑧ 자유 재주문,자유 첫 주문 고객(명),6120.0,4377.0,39.8,,
2026-02-01,⑧ 자유 재주문,재주문율 · 28일 조기(%),22.42,26.32,-14.8,전년比 하락 금지,이탈
2026-02-01,⑧ 자유 재주문,재주문율 · 90일(%),38.63,44.53,-13.2,전년比 하락 금지,이탈
2026-02-01,⑧ 자유 재주문,3회차 도달률 · 90일(%),18.46,23.44,-21.2,전년比 하락 금지,이탈
2026-02-01,⑧ 자유 재주문,2회차 구독 전환(%),2.27,2.6,-12.7,,
2026-02-01,⑨ 진단,자유 첫 재주문 간격 P50(일),29.0,28.0,,,
2026-02-01,⑨ 진단,자유 첫 재주문 간격 P75(일),63.0,63.0,,,
2026-02-01,⑨ 진단,자유 재주문 중 구독 비중(%),5.01,5.01,,,
2026-03-01,⑧ 자유 재주문,자유 첫 주문 고객(명),8189.0,7132.0,14.8,,
2026-03-01,⑧ 자유 재주문,재주문율 · 28일 조기(%),25.19,26.7,-5.7,전년比 하락 금지,이탈
2026-03-01,⑧ 자유 재주문,재주문율 · 90일(%),39.44,42.64,-7.5,전년比 하락 금지,이탈
2026-03-01,⑧ 자유 재주문,3회차 도달률 · 90일(%),18.66,20.71,-9.9,전년比 하락 금지,이탈
2026-03-01,⑧ 자유 재주문,2회차 구독 전환(%),,2.34,,,
2026-03-01,⑨ 진단,자유 첫 재주문 간격 P50(일),,24.0,,,
2026-03-01,⑨ 진단,자유 첫 재주문 간격 P75(일),,53.0,,,
2026-03-01,⑨ 진단,자유 재주문 중 구독 비중(%),,4.86,,,
2026-04-01,⑧ 자유 재주문,자유 첫 주문 고객(명),8543.0,9473.0,-9.8,,
2026-04-01,⑧ 자유 재주문,재주문율 · 28일 조기(%),23.11,25.77,-10.3,전년比 하락 금지,이탈
